timestamp,open,high,low,close,volume
2025-01-17 12:35:00,102397.3,102410.8,102342.8,102405.6,110.796
2025-01-17 12:36:00,102405.5,102405.5,102300.1,102345.0,262.876
2025-01-17 12:37:00,102345.1,102399.6,102345.0,102396.9,98.878
2025-01-17 12:38:00,102397.0,102415.6,102375.9,102375.9,25.994
2025-01-17 12:39:00,102375.9,102453.1,102375.9,102446.6,68.509
2025-01-17 12:40:00,102446.5,102630.1,102441.7,102579.2,322.568
2025-01-17 12:41:00,102579.1,102744.0,102573.7,102665.4,951.114
2025-01-17 12:42:00,102665.3,102731.9,102629.2,102690.1,221.907
2025-01-17 12:43:00,102690.0,102690.0,102621.5,102628.6,172.605
2025-01-17 12:44:00,102628.5,102674.3,102628.5,102665.0,132.219
2025-01-17 12:45:00,102665.0,102736.8,102661.0,102718.9,166.753
2025-01-17 12:46:00,102718.9,102881.8,102718.9,102860.0,1130.366
2025-01-17 12:47:00,102860.0,102931.8,102852.2,102852.3,519.544
2025-01-17 12:48:00,102852.3,102887.7,102790.0,102802.3,224.397
2025-01-17 12:49:00,102802.4,102876.0,102802.4,102862.1,135.882
2025-01-17 12:50:00,102862.1,102862.2,102750.2,102767.9,211.411
2025-01-17 12:51:00,102768.8,102780.6,102690.4,102692.7,157.945
2025-01-17 12:52:00,102692.6,102880.0,102690.4,102863.9,410.803
2025-01-17 12:53:00,102863.9,102865.8,102806.0,102845.1,97.559
2025-01-17 12:54:00,102845.1,102847.2,102767.5,102767.5,72.774
2025-01-17 12:55:00,102767.5,102793.7,102753.1,102753.1,75.631
2025-01-17 12:56:00,102753.1,102779.4,102698.4,102698.4,91.015
2025-01-17 12:57:00,102698.4,102733.7,102681.0,102710.2,151.745
2025-01-17 12:58:00,102710.1,102718.2,102694.0,102717.4,61.412
2025-01-17 12:59:00,102713.4,102728.7,102690.4,102701.9,99.289
2025-01-17 13:00:00,102702.0,102849.8,102702.0,102845.3,182.736
2025-01-17 13:01:00,102845.3,102858.8,102775.1,102792.1,128.865
2025-01-17 13:02:00,102792.0,102843.6,102788.9,102843.6,91.411
2025-01-17 13:03:00,102843.5,102850.0,102810.8,102849.9,96.684
2025-01-17 13:04:00,102849.8,102905.7,102840.7,102879.4,189.084
2025-01-17 13:05:00,102879.4,102943.2,102860.1,102877.9,197.771
2025-01-17 13:06:00,102877.9,102885.6,102813.9,102885.2,133.573
2025-01-17 13:07:00,102885.2,102885.3,102829.9,102870.0,123.831
2025-01-17 13:08:00,102869.9,102876.2,102840.0,102840.6,80.908
2025-01-17 13:09:00,102840.5,102840.6,102777.5,102794.1,73.38
2025-01-17 13:10:00,102794.1,102840.1,102782.1,102788.8,95.183
2025-01-17 13:11:00,102788.8,102812.0,102756.5,102788.9,114.936
2025-01-17 13:12:00,102789.0,102795.4,102717.1,102717.1,79.476
2025-01-17 13:13:00,102717.2,102733.4,102704.1,102707.8,92.687
2025-01-17 13:14:00,102707.8,102725.6,102702.0,102721.6,70.043
